"槽位编号","卡池分区","稀有度","主轴","副轴","主职责","推荐牌型","费用带","资源模式","桥接模式","配对范围","设计重点","护栏","旧牌参考"
"R-C-01","核心60","普通","前沿","无","起动","攻击","1","伤害","前沿命中","单红","抽上来就能打的前沿基础攻击，负责教会玩家抢先出牌","无前沿时也必须接近及格线，不写第二条件","red_latest_strike"
"R-C-02","核心60","普通","前沿","无","起动","攻击","1","伤害","前沿命中","单红","第二张前沿基础攻击，偏向不同伤害型态例如随机或轻溅射","仍然只吃前沿，不叠第三计数","red_defense_and_strike"
"R-C-03","核心60","普通","前沿","无","起动","技能","1","防御","前沿命中","单红","前沿基础防守，成功时明显更赚，失败时也能止血","不要附带额外生成或跨色收益","red_frontier_guard"
"R-C-04","核心60","普通","前沿","无","起动","技能","1","能量","前沿命中","单红","前沿成功后回一点节奏的基础技能","回能只服务继续出牌，不再叠抽牌","red_debate_steady"
"R-C-05","核心60","普通","前沿","无","起动","技能","1","抽牌","前沿开窗","单红","简单抽牌并制造更多前沿窗口","普通 只承担开窗功能，不再写第二奖励","red_frontier_brief"
"R-C-06","核心60","普通","前沿","无","桥接","攻击","1","伤害","前沿计数","单红","前沿打击转成小收益的中段桥牌","奖励幅度控制在轻加成，避免抢 稀有 戏份",""
"R-C-07","核心60","普通","前沿","无","桥接","技能","1","功能","前沿规则","单红","设定下一张或本次出牌为前沿的规则桥牌","不要再顺带抽牌或回能","red_mark_next_frontier"
"R-C-08","核心60","普通","前沿","尝试","桥接","攻击","1","临时牌","前沿转尝试","单红","前沿成功后制造1张尝试，这是前沿进入尝试的第一桥","只负责造尝试，不再兼做大回能","red_frontier_annotation"
"R-C-09","核心60","普通","前沿","无","桥接","攻击","1","伤害","前沿计数","单红","按本回合前沿次数略微增伤的桥牌","只吃一种计数，不再额外挂非红条件",""
"R-C-10","核心60","普通","前沿","无","防御","技能","1","防御","前沿命中","单红","前沿成功时多给防或临时减压的保命牌","防御牌不要再顺手开太多引擎",""
"R-C-11","核心60","普通","前沿","无","节奏","技能","1","减费","前沿返利","单红","前沿成功时让下一张牌减费或退款的节奏牌","必须写清上限，避免免费连锁",""
"R-C-12","核心60","普通","前沿","无","解题","攻击","2","群伤","前沿命中","单红","前沿版 群伤 解题，帮助红色处理群怪","未触发时也要能作为可用 群伤",""
"R-C-13","核心60","普通","尝试","无","起动","技能","1","临时牌","尝试生成","单红","单张生成1次尝试并附一点保命或整理","尝试本体必须简单，不再挂复杂条件","red_scribble_note"
"R-C-14","核心60","普通","尝试","无","起动","技能","2","临时牌","尝试生成","单红","双尝试生成器，是 普通 尝试核心","只做生成器，不兼任大额 draw engine","red_note_dance"
"R-C-15","核心60","普通","尝试","前沿","桥接","攻击","1","伤害","尝试消耗","单红","消费已打出的尝试或手中尝试得到增伤","不能同时再吃非红或随机",""
"R-C-16","核心60","普通","节奏","前沿","桥接","技能","1","能量","前沿返利","单红","前沿成功返能的纯连接层 普通 核心","资源牌不再附带高伤害","red_keep_up"
"R-C-17","核心60","普通","节奏","尝试","桥接","技能","1","抽牌","尝试返利","单红","当回合尝试次数达到阈值时小抽或小返能","普通 只给轻奖励，不做爆发",""
"R-C-18","核心60","普通","润滑","无","润滑","技能","1","抽牌","修手牌","单红","纯润滑抽滤牌，不承担流派教学","不要写第三种机制词",""
"R-C-19","核心60","普通","润滑","无","润滑","技能","1","功能","修手牌","单红","换牌或轻弃牌整理，让红色不堵手","只修手牌，不再写成长文案",""
"R-C-20","核心60","普通","润滑","无","攻击","攻击","1","伤害","泛用","单红","通用红色平砍，服务所有构筑","保持高可拿性，不写窄条件",""
"R-C-21","核心60","普通","润滑","无","防御","技能","1","防御","泛用","单红","通用防御牌，服务所有构筑","优先保手感而非花哨联动",""
"R-C-22","核心60","普通","润滑","无","解题","攻击","1","群伤","泛用","单红","普通 群伤，解决杂兵压力","不要绑定前沿成功才可用",""
"R-C-23","核心60","普通","润滑","无","解题","技能","1","防御+伤害","泛用","单红","对精英不至于太虚的混合牌","混合牌数值必须克制，不能双高","red_defense_and_strike"
"R-C-24","核心60","普通","润滑","无","节奏","技能","1","减费","修手牌","单红","当回合减费或修手牌的节奏润滑牌","不要顺带生成跨色牌",""
"R-C-25","核心60","普通","微包","无","构筑钩子","攻击","2","标签计数","标签构筑","单红","吃特定标签数量的偏执构筑钩子，类似 完美打击 微包","只放一条统计，不兼做引擎",""
"R-C-26","核心60","普通","微包","无","投入","攻击","2","升级成长","升级构筑","单红","吃升级资源的单卡偏执包","必须允许不成型时不拿",""
"R-C-27","核心60","普通","润滑","无","保底","技能","0","功能","保命按钮","单红","0费保下限或过牌手段","0费牌必须有严格上限或低影响",""
"R-X-28","联动15","普通","跨色","非红/他色","入口","技能","1","功能","非红入口","任意非红","首次非红后得到小收益，这是所有双色红牌的共同入口","入口牌只做开门，不做大 payoff",""
"R-X-29","联动15","普通","跨色","非红/他色","入口","技能","1","临时牌","他色种子","任意非红","轻量获得他色牌或标记下张非红协同","生成牌的随机性只做调味","red_borrowed_lottery"
"R-X-30","联动15","普通","跨色","非红/他色","桥接","技能","1","减费","非红转红","任意非红","打出非红后让下一张红牌更顺","普通 不做两段以上跨色清算",""
"R-U-31","核心60","罕见","前沿","无","桥接","攻击","1","伤害","前沿计数","单红","中段前沿打击，开始明显吃前沿次数","只吃前沿计数，不挂随机",""
"R-U-32","核心60","罕见","前沿","无","桥接","技能","2","抽牌","前沿开窗","单红","继续开窗口并保持回合不断的中段桥牌","抽牌量和回能不要同张双高",""
"R-U-33","核心60","罕见","前沿","无","回报","能力","2","伤害成长","前沿全局","单红","前沿牌伤害提升的长期回报","数值要受前沿触发频率约束","red_frontier_damage_core"
"R-U-34","核心60","罕见","前沿","无","回报","能力","1","能量","每X次前沿","单红","每 X 次前沿返能的长期回报","必须写每回合触发上限","red_frontier_triplet_energy"
"R-U-35","核心60","罕见","前沿","无","回报","能力","2","抽牌","打出前沿","单红","每次前沿抽1的主引擎 Power","和减费或回能不要叠在一起","red_frontier_continuous_draw"
"R-U-36","核心60","罕见","前沿","无","回报","能力","2","红色能量","每回合首次前沿","单红","每回合首次前沿给专属红能的结构牌","奖励要偏节奏而非纯数值","red_last_line"
"R-U-37","核心60","罕见","前沿","无","终结","攻击","2","伤害","前沿计数","单红","按本回合前沿次数清算的单体或群体终结牌","终结牌本身不要顺带开引擎",""
"R-U-38","核心60","罕见","尝试","无","起动","技能","2","临时牌","尝试爆量","单红","一次制造多张尝试的 Uncommon 生成器","不再额外叠第三机制","red_inspiration_blade_rain"
"R-U-39","核心60","罕见","尝试","无","回报","能力","2","伤害成长","打出尝试","单红","每次打出尝试都额外造成伤害的放大器","只放大尝试，不扩大所有攻击","red_scribble_amplifier"
"R-U-40","核心60","罕见","前沿","尝试","桥接","技能","1","临时牌","前沿转尝试","单红","前沿成功时制造尝试并额外补一小步资源","桥牌只跨两层，不要再写非红",""
"R-U-41","核心60","罕见","尝试","无","终结","攻击","2","伤害","尝试计数","单红","按本回合尝试数量清算的终结技","必须有上限避免廉价溢出","red_scribble_finisher"
"R-U-42","核心60","罕见","节奏","前沿","桥接","技能","1","能量","前沿连锁","单红","连续前沿时回补能量或减费，像战士条件退款","只奖励正确前沿顺序，不做无条件回能",""
"R-U-43","核心60","罕见","节奏","尝试","桥接","技能","1","减费","尝试连锁","单红","打出若干尝试后让下张牌免费或减费","减费必须指向红牌或指定类型",""
"R-U-44","核心60","罕见","节奏","无","回报","能力","3","减费","额外抽牌","单红","本回合额外抽到的牌减费的速度型 Power","只给有限次数并限制下限","red_inspiration_preheat"
"R-U-45","核心60","罕见","润滑","无","解题","攻击","2","群伤","泛用","单红","更强的 群伤 或随机多段清场牌","不能同时再承担主引擎职责",""
"R-U-46","核心60","罕见","润滑","无","防御","技能","2","防御","节奏止损","单红","能保命又不完全离轴的中费防御","防御 rare 感不要提前下放",""
"R-U-47","核心60","罕见","润滑","无","润滑","技能","1","抽牌+功能","泛用","单红","中费高质量润滑牌，保证构筑稳定","不要把它做成所有套牌必抓的超模",""
"R-U-48","核心60","罕见","润滑","无","解题","攻击","2","首领解法","泛用","单红","针对单大怪的爆发或效率解法","只负责单体解题，不再兼做清场",""
"R-U-49","核心60","罕见","微包","无","构筑钩子","能力","1","特殊计数","构筑导向","单红","单卡带构筑感的偏执包，不是主轴","必须允许被跳过，不绑主流程",""
"R-X-50","联动15","罕见","跨色","前沿","路标","技能","1","控制","红白桥接","红白","红白桥牌：前沿成功后触发轻排序或端点收益","只轻咬合白色，不抢白色主身份",""
"R-X-51","联动15","罕见","跨色","尝试","路标","攻击","1","控制","红白桥接","红白","红白桥牌：尝试命中时引发白色顺序或规整收益","红色负责出手，白色负责秩序放大",""
"R-X-52","联动15","罕见","跨色","前沿","路标","技能","1","状态","红蓝桥接","红蓝","红蓝桥牌：前沿成功后施加少量解析或研究标记","别让红蓝变成纯抽牌自转",""
"R-X-53","联动15","罕见","跨色","节奏","路标","能力","2","牌流","红蓝桥接","红蓝","红蓝桥牌：抽牌与费用转换的混合件","必须比纯蓝资源牌更冒险",""
"R-X-54","联动15","罕见","跨色","尝试","路标","攻击","1","风险代价","红黑桥接","红黑","红黑桥牌：尝试或连打把生命代价转收益","代价要显性，别做无脑高值",""
"R-X-55","联动15","罕见","跨色","节奏","路标","技能","1","诅咒代价","红黑桥接","红黑","红黑桥牌：短期透支或自残换更猛回合","不要让黑色长期契约感被红色完全吃掉",""
"R-X-56","联动15","罕见","跨色","前沿","路标","技能","1","成长","红绿桥接","红绿","红绿桥牌：前沿成功后给牌成长或保留长期增益","红绿要像短期点火再交给长期成长",""
"R-X-57","联动15","罕见","跨色","尝试","路标","能力","2","防御成长","红绿桥接","红绿","红绿桥牌：尝试次数转护甲成长或斩杀准备","不要让红绿同时又快又厚无代价",""
"R-R-58","核心60","稀有","前沿","无","招牌","能力","2","抽牌+节奏","前沿引擎","单红","定义前沿构筑的招牌引擎 稀有","必须能看出这套牌的梦想而非只是数值高",""
"R-R-59","核心60","稀有","前沿","无","终结","攻击","3","伤害","前沿计数","单红","真正属于前沿自己的大终结牌","不要再借尝试当主结算",""
"R-R-60","核心60","稀有","前沿","无","展示","技能","2","规则扭转","前沿规则","单红","改变前沿规则的 稀有，例如本回合额外消耗一次前沿","规则扭曲牌数量必须少",""
"R-R-61","核心60","稀有","尝试","无","终结","攻击","2","多段伤害","尝试计数","单红","尝试套牌的主终结技","必须要求前置生成，不做裸强牌",""
"R-R-62","核心60","稀有","尝试","无","招牌","能力","1","尝试规则","打出尝试","单红","定义尝试构筑上限的稀有能力牌","只改变尝试子系统，不覆盖整色",
"R-R-63","核心60","稀有","节奏","无","招牌","技能","0","伪能量","资源转换","单红","伪能量 稀有，把别的资源转成行动次数","需要付出明确风险或条件",""
"R-R-64","核心60","稀有","节奏","前沿","回报","能力","2","放大","首击","单红","前沿放大层 稀有，让整个颜色上限打开","同类放大 稀有 最多一到两张",""
"R-R-65","核心60","稀有","润滑","无","防御","技能","3","防御","救回合","单红","稀有大保命，给快色一个能活下去的极限按钮","不应成为最优通解而压缩其他防御",""
"R-R-66","核心60","稀有","润滑","无","终结","攻击","2","泛用爆发","泛用","单红","不依赖特定副轴也能作为红色通用收尾","通用收尾不能比专轴终结更值",""
"R-R-67","核心60","稀有","微包","无","构筑钩子","攻击","2","标签计数","标签构筑","单红","按某标签或生成牌数量结算的 稀有 微包","只让少量牌围绕它旋转",""
"R-R-68","核心60","稀有","微包","无","投入","攻击","2","营火成长","升级构筑","单红","吃升级或长期投入的偏执 稀有，类似 灼热打击 微包","必须接受成型成本高",""
"R-R-69","核心60","稀有","微包","无","展示","攻击","3","高波动","高波动展示","单红","高波动展示牌，负责红色名场面","随机只给高光，不担保稳定性",""
"R-R-70","核心60","稀有","微包","无","构筑钩子","能力","2","奇异规则","奇异构筑","单红","极端 偏执构筑 稀有，只给少数构筑","不要让它反客为主改写整色",""
"R-R-71","核心60","稀有","润滑","无","决胜","技能","2","回合转换","手牌转爆发","单红","把手牌质量或临时牌一次性转成爆发回合的 稀有","要像终局按钮而不是无脑循环",""
"R-X-72","联动15","稀有","跨色","前沿","展示","技能","2","控制","红白展示","红白","红白 showcase：前沿与顺序系统强咬合的双色梦想牌","必须让白色仍保有秩序主导权",""
"R-X-73","联动15","稀有","跨色","节奏","展示","能力","2","状态","红蓝展示","红蓝","红蓝 showcase：额外抽牌与解析或研究滚雪球的双色梦想牌","要有风险感，别做纯理性永动",""
"R-X-74","联动15","稀有","跨色","风险","展示","技能","1","自我代价","红黑展示","红黑","红黑 showcase：短期透支换极高爆发的双色梦想牌","代价必须足够黑，不是白送",""
"R-X-75","联动15","稀有","跨色","成长","展示","攻击","2","升级终结","红绿展示","红绿","红绿 showcase：尝试或前沿被长期成长后清算的双色梦想牌","成长兑现要比单回合爆发更慢一步",""
